date,PL_SUPRM,DIG_3_MEAT,DIG_SUPRM,DIG_PEPP,FRSC_BRCK,FRSC_PEPP ,FRSC_4_CHEESE,PL_MEAT
1/14/2009,27.0,21.0,36.0,73.0,21.0,8.0,12.0,25.0
1/21/2009,31.0,14.0,21.0,53.0,16.0,13.0,13.0,25.0
1/28/2009,26.0,9.0,26.0,33.0,8.0,13.0,4.0,24.0
2/4/2009,19.0,23.0,30.0,38.0,21.0,11.0,9.0,20.0
2/11/2009,13.0,4.0,27.0,25.0,60.0,49.0,28.0,6.0
2/18/2009,16.0,11.0,23.0,30.0,64.0,55.0,30.0,6.0
2/25/2009,9.0,11.0,19.0,39.0,20.0,25.0,8.0,7.0
3/4/2009,13.0,3.0,10.0,18.0,6.0,1.0,2.0,4.0
3/11/2009,8.0,11.0,16.0,27.0,87.0,55.0,55.0,8.0
3/18/2009,5.0,10.0,20.0,26.0,66.0,73.0,55.0,6.0
3/25/2009,8.0,5.0,18.0,35.0,53.0,33.0,37.0,15.0
4/1/2009,12.0,5.0,22.0,47.0,10.0,18.0,12.0,9.0
4/8/2009,9.0,16.0,35.0,42.0,15.0,7.0,5.0,5.0
4/15/2009,23.0,6.0,25.0,24.0,12.0,9.0,7.0,15.0
4/22/2009,16.0,10.0,28.0,45.0,12.0,16.0,13.0,6.0
4/29/2009,31.0,11.0,17.0,24.0,18.0,8.0,6.0,22.0
5/6/2009,17.0,9.0,10.0,28.0,15.0,12.0,9.0,25.0
5/13/2009,17.0,7.0,16.0,29.0,16.0,9.0,11.0,21.0
5/20/2009,13.0,7.0,19.0,31.0,17.0,8.0,8.0,14.0
5/27/2009,10.0,7.0,30.0,45.0,15.0,4.0,5.0,18.0
6/3/2009,6.0,16.0,20.0,49.0,15.0,13.0,8.0,9.0
6/10/2009,10.0,9.0,14.0,35.0,18.0,9.0,7.0,6.0
6/17/2009,11.0,6.0,23.0,34.0,16.0,9.0,11.0,13.0
6/24/2009,12.0,9.0,25.0,37.0,12.0,7.0,8.0,5.0
7/1/2009,13.0,6.0,21.0,41.0,27.0,15.0,12.0,14.0
7/8/2009,12.0,26.0,40.0,80.0,17.0,22.0,12.0,7.0
7/15/2009,12.0,14.0,57.0,76.0,17.0,17.0,17.0,10.0
7/22/2009,8.0,7.0,10.0,16.0,37.0,32.0,23.0,13.0
7/29/2009,7.0,5.0,10.0,28.0,13.0,13.0,15.0,15.0
8/5/2009,10.0,3.0,11.0,21.0,21.0,20.0,6.0,13.0
8/12/2009,8.0,11.0,19.0,24.0,20.0,11.0,9.0,15.0
8/19/2009,13.0,5.0,7.0,18.0,17.0,13.0,7.0,10.0
8/26/2009,21.0,7.0,8.0,11.0,42.0,28.0,22.0,13.0
9/2/2009,26.0,9.0,8.0,16.0,38.0,30.0,31.0,18.0
9/9/2009,6.0,5.0,13.0,28.0,9.0,7.0,5.0,6.0
9/16/2009,7.0,15.0,21.0,47.0,8.0,13.0,3.0,10.0
9/23/2009,2.0,75.0,103.0,158.0,8.0,9.0,7.0,6.0
9/30/2009,5.0,41.0,104.0,180.0,10.0,10.0,10.0,2.0
10/7/2009,3.0,49.0,43.0,79.0,15.0,12.0,13.0,3.0
10/14/2009,4.0,34.0,44.0,76.0,37.0,42.0,53.0,6.0
10/21/2009,8.0,8.0,16.0,37.0,57.0,84.0,50.0,4.0
10/28/2009,8.0,15.0,11.0,25.0,24.0,15.0,7.0,3.0
11/4/2009,14.0,14.0,22.0,24.0,15.0,20.0,15.0,2.0
11/11/2009,3.0,6.0,23.0,26.0,17.0,16.0,17.0,1.0
11/18/2009,3.0,47.0,76.0,113.0,13.0,18.0,12.0,3.0
11/25/2009,3.0,33.0,70.0,94.0,21.0,18.0,12.0,9.0
12/2/2009,8.0,32.0,76.0,111.0,9.0,5.0,7.0,4.0
12/9/2009,9.0,16.0,26.0,31.0,15.0,23.0,15.0,8.0
12/16/2009,19.0,17.0,25.0,38.0,10.0,18.0,19.0,42.0
12/23/2009,22.0,11.0,20.0,36.0,10.0,20.0,20.0,34.0
12/30/2009,25.0,5.0,19.0,30.0,14.0,17.0,11.0,24.0
1/6/2010,27.0,17.0,26.0,32.0,86.0,119.0,90.0,30.0
