DATE,y
1/14/2009,223
1/21/2009,186
1/28/2009,143
2/4/2009,171
2/11/2009,212
2/18/2009,235
2/25/2009,138
3/4/2009,57
3/11/2009,267
3/18/2009,261
3/25/2009,204
4/1/2009,135
4/8/2009,134
4/15/2009,121
4/22/2009,146
4/29/2009,137
5/6/2009,125
5/13/2009,126
5/20/2009,117
5/27/2009,134
6/3/2009,136
6/10/2009,108
6/17/2009,123
6/24/2009,115
7/1/2009,149
7/8/2009,216
7/15/2009,220
7/22/2009,146
7/29/2009,106
8/5/2009,105
8/12/2009,117
8/19/2009,90
8/26/2009,152
9/2/2009,176
9/9/2009,79
9/16/2009,124
9/23/2009,368
9/30/2009,362
10/7/2009,217
10/14/2009,296
10/21/2009,264
10/28/2009,108
11/4/2009,126
11/11/2009,109
11/18/2009,285
11/25/2009,260
12/2/2009,252
12/9/2009,143
12/16/2009,188
12/23/2009,173
12/30/2009,145
1/6/2010,427
1/13/2010,391
1/20/2010,148
1/27/2010,277
2/3/2010,136
2/10/2010,154
2/17/2010,159
2/24/2010,145
3/3/2010,261
3/10/2010,325
3/17/2010,117
3/24/2010,404
3/31/2010,353
4/7/2010,142
4/14/2010,133
4/21/2010,122
4/28/2010,121
5/5/2010,211
5/12/2010,166
5/19/2010,86
5/26/2010,119
6/2/2010,97
6/9/2010,113
6/16/2010,229
6/23/2010,244
6/30/2010,131
7/7/2010,113
7/14/2010,260
7/21/2010,142
7/28/2010,99
8/4/2010,101
8/11/2010,106
8/18/2010,278
8/25/2010,221
9/1/2010,123
9/8/2010,163
9/15/2010,142
9/22/2010,229
9/29/2010,235
10/6/2010,262
10/13/2010,319
10/20/2010,266
10/27/2010,269
11/3/2010,271
11/10/2010,101
11/17/2010,116
11/24/2010,180
12/1/2010,159
12/8/2010,319
12/15/2010,319
12/22/2010,155
12/29/2010,114
1/5/2011,157
1/12/2011,98
1/19/2011,248
1/26/2011,135
2/2/2011,257
2/9/2011,357
2/16/2011,103
2/23/2011,123
3/2/2011,111
3/9/2011,285
3/16/2011,294
3/23/2011,227
3/30/2011,219
4/6/2011,88
4/13/2011,66
4/20/2011,100
4/27/2011,100
5/4/2011,250
5/11/2011,290
5/18/2011,283
5/25/2011,91
6/1/2011,86
6/8/2011,147
6/15/2011,170
6/22/2011,128
6/29/2011,99
7/6/2011,242
7/13/2011,195
7/20/2011,86
7/27/2011,193
8/3/2011,197
8/10/2011,168
8/17/2011,159
8/24/2011,108
8/31/2011,102
9/7/2011,79
9/14/2011,107
9/21/2011,324
9/28/2011,264
10/5/2011,216
10/12/2011,197
10/19/2011,132
10/26/2011,115
11/2/2011,134
11/9/2011,208
11/16/2011,236
11/23/2011,242
11/30/2011,203
